AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15
North Lincolnshire,E06000013,1078.8,996.3,1054.3,1018.1,978.9,1008.9,1021.8,989.2,975.6,841.0,916.1,833.6,889.3,864.0,897.5
York,E06000014,966.1,978.2,960.2,915.4,825.7,862.6,866.1,897.3,828.6,877.9,811.6,811.4,805.9,826.5,804.1
Derby,E06000015,1055.3,1105.8,1079.1,980.4,944.5,977.3,969.7,1007.6,933.7,881.2,814.7,868.1,915.5,808.3,857.6
Leicester,E06000016,1157.3,1144.1,1185.7,1168.9,1132.7,1108.5,1041.7,1089.4,1015.1,986.5,917.8,914.9,963.6,926.6,973.3
Rutland,E06000017,829.6,808.6,839.8,830.9,766.3,707.1,682.4,850.2,781.0,793.2,744.8,714.3,587.3,651.4,761.6
Nottingham,E06000018,1198.7,1129.5,1142.0,1109.8,1064.4,1004.0,1038.2,1096.3,974.0,953.1,928.4,965.9,899.4,938.3,993.2
"Herefordshire, County of",E06000019,929.3,928.7,890.0,929.7,940.9,785.6,908.1,900.6,829.6,784.3,801.2,768.3,772.3,769.0,822.3
Telford and Wrekin,E06000020,1128.8,1152.7,1095.8,1103.3,1000.3,1023.5,924.7,951.2,939.5,952.0,913.5,988.0,948.1,833.0,1001.6
Stoke-on-Trent,E06000021,1159.4,1218.2,1223.6,1140.6,1090.0,1098.1,1117.3,1197.4,1080.9,1039.8,996.7,1024.5,1009.2,936.1,1025.7
Bath and North East Somerset,E06000022,833.3,915.8,893.5,919.3,903.1,818.4,831.2,847.4,805.8,826.5,735.4,763.3,790.7,707.4,797.0
"Bristol, City of",E06000023,1043.7,1048.8,1078.3,1001.0,990.7,959.4,957.0,932.1,914.1,890.5,862.5,825.2,908.3,834.1,824.6
North Somerset,E06000024,989.7,977.2,949.3,876.1,914.0,873.2,854.9,874.1,780.3,816.1,836.5,777.1,833.1,737.8,865.2
South Gloucestershire,E06000025,933.9,940.6,1016.4,835.2,840.6,806.7,865.0,848.2,778.8,785.4,761.6,758.3,754.3,695.3,757.4
Plymouth,E06000026,1021.3,1071.7,1092.6,998.6,961.6,927.5,955.4,940.2,930.4,944.3,848.3,941.4,889.8,830.6,874.8
Torbay,E06000027,1016.8,934.2,1041.9,886.6,889.4,817.8,962.6,880.5,882.7,891.2,888.3,853.1,835.6,824.5,874.4
Bournemouth,E06000028,988.9,948.8,971.4,908.6,924.7,886.3,870.6,928.3,843.3,852.9,820.7,883.1,850.9,794.0,914.5
Poole,E06000029,860.1,969.1,941.8,883.4,835.4,832.0,808.7,881.0,788.2,797.7,771.5,799.6,787.5,775.3,889.1
Swindon,E06000030,1066.0,1152.6,1100.6,1017.4,1040.9,999.4,991.0,898.2,868.1,878.4,915.7,878.4,858.9,842.7,889.7
Peterborough,E06000031,1146.6,1124.8,1149.4,940.6,1104.8,1023.7,1004.3,986.5,899.5,917.8,830.1,917.1,865.3,890.4,880.0
Luton,E06000032,1225.3,1190.8,1131.6,1129.6,1091.3,1063.7,1070.3,1046.4,973.9,903.0,892.9,938.7,855.3,907.6,893.9
Southend-on-Sea,E06000033,1145.5,1070.0,1052.0,1037.6,1004.6,984.9,927.4,983.8,906.2,947.7,868.2,837.1,893.3,813.5,870.5
Thurrock,E06000034,1031.2,1085.8,1089.6,1029.4,982.5,983.8,996.3,965.7,914.5,966.5,904.7,909.4,893.5,895.7,900.0
Medway,E06000035,1120.0,1122.1,1132.3,1053.0,1050.1,1078.2,968.2,1000.8,938.7,961.2,904.3,928.8,886.6,956.1,959.0
Bracknell Forest,E06000036,1036.0,1000.7,1053.3,921.8,920.4,882.5,799.8,831.5,804.5,737.9,843.1,812.0,685.0,673.6,766.5
West Berkshire,E06000037,970.8,951.7,964.2,893.4,853.7,869.5,856.0,819.7,798.2,754.4,734.9,741.0,824.9,719.4,748.2
Reading,E06000038,981.5,990.0,973.8,956.0,967.7,927.5,909.0,931.8,855.8,857.1,847.7,898.7,866.2,825.9,825.3
Slough,E06000039,1110.9,1070.5,1054.0,1093.1,993.6,860.4,888.9,927.3,911.9,849.7,851.9,854.6,902.4,795.8,865.6
Windsor and Maidenhead,E06000040,1022.7,980.9,964.7,932.1,896.5,895.7,867.9,861.6,831.8,762.1,754.0,756.2,726.5,699.7,732.1
Wokingham,E06000041,908.2,978.7,890.3,863.8,840.1,868.9,808.6,796.0,752.3,780.6,750.5,764.8,747.0,731.7,694.2
Milton Keynes,E06000042,1124.5,1060.2,1179.9,1087.9,1069.1,970.8,961.4,975.6,905.6,933.3,870.8,922.7,871.1,860.6,877.0
Brighton and Hove,E06000043,990.4,963.6,1061.4,914.1,962.3,912.7,934.9,840.0,897.3,827.7,853.7,834.6,823.7,762.5,837.7
Portsmouth,E06000044,1098.1,1049.9,1125.6,1030.8,959.1,952.2,925.6,933.3,876.7,835.9,916.1,898.5,934.2,901.7,891.5
Southampton,E06000045,961.5,1029.3,1051.2,964.1,984.0,916.7,905.9,993.1,830.1,829.6,861.4,900.7,859.5,780.4,906.9
Isle of Wight,E06000046,934.1,1012.4,982.3,862.9,860.8,846.2,866.5,878.3,802.1,820.8,782.2,845.9,836.1,751.4,778.1
County Durham,E06000047,1151.3,1160.7,1206.9,1119.9,1161.9,1077.5,1068.0,1087.7,1033.4,975.5,993.1,973.2,1043.5,959.5,996.9
Cheshire East,E06000049,1053.9,1034.7,1003.8,993.0,926.0,910.6,906.6,916.4,872.4,858.2,804.5,847.5,795.9,753.4,827.6
Cheshire West and Chester,E06000050,1021.7,1045.1,1032.2,961.7,995.5,941.0,964.1,989.5,891.4,888.9,864.9,889.2,808.8,843.4,870.3
Shropshire,E06000051,988.7,1023.4,1041.3,929.8,900.9,858.1,883.3,902.7,844.4,823.6,810.8,783.2,811.7,746.1,824.7
Cornwall,E06000052,950.7,978.8,983.5,913.4,907.2,859.8,895.1,884.0,865.4,849.1,793.0,823.3,843.8,786.8,826.5
Isles of Scilly,E06000053,950.7,978.8,983.5,913.4,907.2,859.8,895.1,884.0,865.4,849.1,793.0,823.3,843.8,786.8,826.5
Wiltshire,E06000054,973.8,984.4,953.1,899.4,883.5,846.5,835.5,845.3,820.9,795.0,784.4,788.0,790.3,745.9,808.0
Bedford,E06000055,1010.1,984.6,1024.0,944.0,993.0,915.5,955.2,948.7,862.6,893.1,825.9,777.3,800.0,778.2,855.9
Central Bedfordshire,E06000056,1042.4,1017.1,1002.1,994.3,956.2,930.1,946.2,904.4,897.7,850.3,754.2,802.6,842.9,775.7,821.9
Northumberland,E06000057,1088.4,1053.5,1079.2,1074.0,1050.7,998.5,998.8,977.6,944.1,899.8,880.6,929.6,903.8,858.7,910.5
Aylesbury Vale,E07000004,1048.2,1038.2,1011.3,975.9,997.2,945.1,921.0,908.0,878.6,824.5,740.6,797.1,802.2,761.4,794.2
Chiltern,E07000005,867.0,853.7,845.5,902.9,793.0,780.3,717.0,719.3,678.9,745.5,676.5,589.7,634.0,604.9,673.2
South Bucks,E07000006,942.1,1041.1,945.0,877.0,969.5,812.6,770.6,809.3,781.3,765.9,644.9,732.8,665.6,663.5,741.0
Wycombe,E07000007,915.3,937.5,906.8,873.4,793.1,774.2,810.0,761.6,707.3,747.9,751.2,780.2,678.8,713.0,745.9
Cambridge,E07000008,917.3,948.2,1023.4,918.4,899.7,921.3,818.6,855.1,822.2,757.6,707.8,803.7,811.2,744.4,783.8
East Cambridgeshire,E07000009,768.7,933.7,966.7,844.7,790.2,793.5,860.5,809.6,795.0,687.5,759.1,667.6,664.5,756.6,763.9
Fenland,E07000010,1116.2,1023.6,1081.6,984.5,1064.4,1045.9,920.4,938.6,874.4,866.0,869.8,858.0,848.7,877.4,839.6
Huntingdonshire,E07000011,959.5,965.4,1015.4,901.5,963.1,922.4,867.7,864.0,780.7,810.3,696.5,803.0,788.6,673.4,747.5
South Cambridgeshire,E07000012,928.9,830.5,842.9,824.9,751.0,760.0,798.4,734.4,767.6,678.0,623.1,700.8,669.7,671.0,723.0
Allerdale,E07000026,1118.0,1149.9,1189.6,1026.3,1002.4,1051.3,1045.9,998.6,977.4,893.2,1012.8,944.9,885.9,896.0,921.1
Barrow-in-Furness,E07000027,1048.9,1107.7,1061.7,1055.0,994.3,1018.0,1019.2,1057.2,959.8,1002.8,998.5,874.1,983.4,940.5,1007.2
Carlisle,E07000028,1152.9,1086.4,1113.5,991.5,1011.0,952.9,1005.5,1005.6,950.5,947.4,911.1,962.6,892.8,794.1,892.5
Copeland,E07000029,1075.3,1184.8,1226.2,1113.1,1023.6,1094.7,1083.5,1140.1,989.6,935.6,1046.5,923.1,1017.8,913.6,959.8
Eden,E07000030,925.9,1038.1,1018.6,935.4,898.2,809.5,921.0,839.7,757.2,861.1,761.0,756.4,707.2,644.0,712.5
South Lakeland,E07000031,976.9,969.5,851.2,942.9,817.0,858.9,883.3,849.9,833.7,813.8,822.2,795.8,744.0,706.3,735.8
Amber Valley,E07000032,1004.9,1052.1,1116.8,997.6,940.8,974.9,886.6,980.5,957.5,915.6,824.4,804.2,850.4,859.9,959.4
Bolsover,E07000033,1159.1,1170.9,1233.2,1142.1,1191.7,1059.0,1026.9,1156.3,1018.6,996.6,913.8,1018.9,960.6,969.1,1066.4
Chesterfield,E07000034,1163.8,1101.1,1148.6,1037.6,1123.2,1073.2,932.3,969.6,900.3,913.9,948.6,889.3,940.7,897.0,918.7
Derbyshire Dales,E07000035,1069.3,955.6,1009.9,912.3,926.6,934.0,854.4,838.9,784.6,778.7,789.1,771.2,741.2,741.3,894.8
Erewash,E07000036,1084.9,1089.2,1038.9,1049.8,928.4,1027.1,989.7,874.2,910.0,822.4,804.5,796.2,880.9,863.7,880.2
High Peak,E07000037,998.7,1102.8,1025.3,1074.4,1027.3,960.0,898.8,928.4,956.6,800.1,869.3,903.3,838.2,782.8,895.2
North East Derbyshire,E07000038,1082.6,1130.7,1146.8,1020.9,1120.7,1010.4,1005.8,1042.6,880.0,875.9,872.6,901.2,813.4,852.2,942.1
South Derbyshire,E07000039,1116.9,1060.0,1174.1,1052.9,1012.1,955.7,926.1,1037.8,1002.5,844.8,835.7,911.8,950.7,820.8,1053.9
East Devon,E07000040,850.2,900.4,895.8,832.3,842.3,796.8,792.1,808.6,781.5,724.6,737.4,764.2,753.9,762.1,737.0
Exeter,E07000041,944.4,1003.9,891.5,881.8,882.9,796.2,820.9,901.2,782.5,805.9,811.6,793.6,703.8,748.4,750.6
Mid Devon,E07000042,891.2,888.0,908.0,806.9,809.1,887.2,807.2,842.7,779.6,751.8,663.9,738.9,663.0,679.0,746.8
North Devon,E07000043,987.0,891.3,971.9,919.7,917.6,881.0,837.5,875.2,790.5,767.2,836.9,846.5,811.7,808.9,844.7
South Hams,E07000044,887.4,886.0,876.8,866.0,815.8,778.9,850.5,752.4,798.5,762.9,735.9,750.9,681.2,703.8,747.6
Teignbridge,E07000045,906.3,823.2,931.0,882.7,779.7,796.4,791.6,859.1,851.0,824.3,763.2,778.1,743.1,736.3,710.2
Torridge,E07000046,1032.1,898.9,1057.2,889.1,879.8,803.3,837.9,893.4,851.9,724.7,877.2,831.2,849.5,746.3,879.9
West Devon,E07000047,983.8,865.0,862.9,826.9,797.6,826.0,682.7,799.5,810.8,818.6,756.3,759.5,753.4,666.2,770.2
Christchurch,E07000048,810.0,807.6,873.6,776.6,765.3,722.6,801.7,705.2,683.9,785.1,646.3,647.2,711.4,662.3,690.5
East Dorset,E07000049,828.3,819.7,850.8,748.1,774.3,698.6,706.1,749.5,695.9,638.6,640.7,644.8,657.0,628.8,695.4
North Dorset,E07000050,853.3,892.1,901.0,775.0,824.0,776.0,735.6,737.2,719.8,697.6,654.5,702.8,666.0,632.3,729.7
Purbeck,E07000051,842.9,916.3,841.5,837.4,727.8,843.9,762.7,804.6,760.6,640.5,679.9,628.5,823.9,686.0,763.9
West Dorset,E07000052,875.9,937.0,949.3,824.7,844.1,845.9,751.0,796.0,740.3,732.7,711.8,742.3,747.9,707.3,790.9
Weymouth and Portland,E07000053,971.1,1041.3,965.7,946.2,915.5,860.5,956.9,918.2,895.8,834.1,851.9,832.4,810.4,832.8,790.3
Eastbourne,E07000061,902.3,914.0,924.6,908.4,954.8,877.7,831.3,837.4,814.2,803.8,816.9,828.0,844.0,789.1,813.9
Hastings,E07000062,1188.3,1131.7,1132.1,1059.6,1006.4,1075.2,1011.2,1005.8,1003.2,963.6,946.8,944.3,875.4,929.5,929.9
Lewes,E07000063,890.9,875.6,843.0,836.8,827.9,754.5,790.7,786.5,685.6,758.9,722.1,690.8,659.0,612.8,695.7
Rother,E07000064,952.7,985.2,989.9,906.3,851.6,874.3,852.5,788.6,813.1,773.4,767.7,755.8,777.1,741.1,823.2
Wealden,E07000065,866.6,830.8,895.4,876.4,821.1,807.1,763.6,843.0,694.6,832.7,755.6,738.1,726.0,710.4,750.2
Basildon,E07000066,978.3,1083.7,1052.8,1053.1,970.3,1019.2,944.8,976.7,879.3,866.2,853.9,913.8,810.5,853.0,864.6
Braintree,E07000067,1162.0,1077.2,1063.2,913.4,982.2,891.8,847.3,975.8,881.0,890.7,819.9,868.0,847.9,795.8,956.3
Brentwood,E07000068,953.0,983.3,1053.4,818.8,866.5,832.8,823.9,858.4,802.6,725.8,782.4,789.2,801.8,795.5,801.8
Castle Point,E07000069,1043.5,1050.6,1111.0,1022.5,941.3,954.8,967.2,1004.8,792.5,859.3,822.1,934.1,930.7,833.7,900.1
Chelmsford,E07000070,877.7,859.4,879.0,889.0,843.7,795.4,802.5,753.3,763.5,799.3,748.2,791.7,751.8,691.9,797.4
Colchester,E07000071,972.1,950.8,919.9,937.8,892.5,882.9,819.3,827.7,850.8,817.6,849.2,812.6,783.4,873.0,838.2
Epping Forest,E07000072,957.9,994.0,1123.6,1016.8,969.0,910.5,992.0,976.2,855.8,845.8,807.1,775.9,765.3,898.2,811.7
Harlow,E07000073,1036.2,882.0,908.5,810.9,938.0,845.3,895.6,831.8,868.4,892.4,897.8,857.8,759.3,899.3,778.2
Maldon,E07000074,1088.1,924.1,1092.4,976.2,874.6,954.0,910.0,919.8,792.7,805.4,851.4,834.0,834.2,823.6,813.1
Rochford,E07000075,897.1,959.8,948.1,822.7,807.0,774.6,784.7,789.6,798.7,841.8,696.8,730.7,728.9,713.7,695.3
Tendring,E07000076,1017.9,1057.0,950.8,912.9,1010.9,886.5,948.7,937.8,841.1,870.4,925.0,908.8,905.2,869.2,916.2
Uttlesford,E07000077,1074.1,915.9,928.1,969.8,898.9,809.4,879.8,736.5,784.5,685.8,741.4,697.4,658.7,740.9,744.5
Cheltenham,E07000078,912.9,945.6,1039.4,807.6,904.7,908.7,798.9,835.7,798.7,778.3,727.1,789.8,817.1,757.0,896.5
Cotswold,E07000079,878.9,850.4,912.9,869.3,925.4,813.1,814.9,851.3,812.5,717.8,686.8,634.0,771.5,688.7,698.2
Forest of Dean,E07000080,981.6,1084.8,991.3,946.3,845.4,897.7,897.8,1026.7,762.6,820.3,829.5,765.8,825.0,791.6,851.6
Gloucester,E07000081,1023.6,1003.9,1025.5,1040.7,1021.1,932.5,987.3,930.8,876.2,893.8,790.3,787.5,926.7,910.6,842.1
Stroud,E07000082,1027.0,1003.6,1007.4,925.0,883.4,944.3,851.7,921.3,784.9,860.5,816.8,859.1,964.2,855.5,832.1
Tewkesbury,E07000083,957.1,946.4,971.0,881.3,907.2,836.8,821.4,771.4,867.7,745.0,764.3,793.8,727.8,726.6,660.2
Basingstoke and Deane,E07000084,973.4,989.6,1015.6,907.8,897.1,901.8,866.9,939.0,837.3,910.7,872.5,842.6,829.3,793.3,848.6
East Hampshire,E07000085,1040.3,973.7,1005.7,926.0,933.7,909.8,860.3,906.3,799.7,778.1,777.8,818.2,782.1,729.4,749.8
Eastleigh,E07000086,959.3,1043.1,1019.0,971.8,948.5,893.6,857.0,858.3,760.0,807.0,687.3,724.1,795.9,717.5,780.5
Fareham,E07000087,973.7,952.7,915.0,844.5,810.3,836.1,808.7,794.4,831.6,786.4,814.2,779.3,808.8,823.6,757.3
Gosport,E07000088,1042.0,1047.2,1001.1,1052.0,1014.4,963.7,1007.5,909.2,992.6,914.5,880.0,938.6,869.5,808.1,887.4
Hart,E07000089,808.9,836.0,913.3,853.6,821.4,700.9,763.7,675.2,682.3,647.0,700.2,712.8,625.1,563.4,660.1
Havant,E07000090,1032.9,984.6,981.4,925.1,909.9,903.8,868.1,855.4,826.9,813.8,828.0,804.6,836.0,796.7,771.0
New Forest,E07000091,823.7,835.2,859.4,796.1,780.4,757.2,761.2,744.0,712.5,704.4,693.4,716.2,694.5,673.8,695.9
Rushmoor,E07000092,1089.5,1189.0,1192.5,999.3,935.1,1013.5,982.8,955.8,849.8,900.2,838.6,840.3,899.0,771.6,890.7
Test Valley,E07000093,943.1,943.4,945.8,985.9,881.4,879.4,831.6,827.0,788.7,788.7,685.5,799.3,793.6,720.6,744.4
Winchester,E07000094,904.7,939.0,962.8,943.8,809.1,814.9,857.4,860.6,807.3,662.9,688.5,646.2,701.0,703.8,722.8
Broxbourne,E07000095,947.6,978.7,951.2,977.7,916.6,923.5,865.5,839.0,733.0,790.0,727.1,812.1,723.4,650.2,730.1
Dacorum,E07000096,972.7,956.5,1008.7,929.5,987.3,882.2,784.4,928.0,796.4,785.4,716.6,776.2,814.5,695.5,790.8
Hertsmere,E07000098,1151.9,1101.3,1029.1,1046.5,1046.8,894.9,965.6,876.0,889.2,785.4,796.2,880.3,724.9,742.7,812.3
North Hertfordshire,E07000099,1130.6,1094.2,1044.0,946.7,916.0,934.6,908.3,1002.1,926.4,971.0,863.6,857.6,877.6,853.6,882.0
Three Rivers,E07000102,918.0,942.6,997.3,824.3,965.6,890.0,852.2,806.6,735.5,775.8,730.9,750.1,763.2,739.5,780.6
Watford,E07000103,1197.5,1159.1,1088.6,1055.7,1071.6,1014.7,970.5,998.6,960.6,989.2,853.2,984.1,836.5,932.8,911.1
Ashford,E07000105,872.7,992.4,1071.8,905.2,931.3,940.4,832.7,822.7,840.3,801.1,709.7,768.7,743.3,849.6,758.8
Canterbury,E07000106,1015.0,956.7,998.5,972.6,960.1,961.1,916.9,897.8,870.7,850.0,791.9,848.7,811.2,797.9,852.2
Dartford,E07000107,1169.8,1104.6,1262.5,1150.2,1148.3,984.9,1052.0,1085.7,1086.3,1031.2,1051.3,956.6,974.1,899.6,913.3
Dover,E07000108,1076.7,1010.5,996.7,925.7,993.3,951.7,934.3,943.8,842.2,934.7,888.7,897.0,834.8,847.2,919.2
Gravesham,E07000109,964.7,1076.5,1046.0,993.4,915.6,978.9,1007.4,900.5,933.6,868.2,835.9,834.5,905.0,842.1,825.5
Maidstone,E07000110,977.4,1042.3,995.8,972.7,995.8,981.2,909.5,935.3,823.4,896.8,802.7,852.0,838.2,843.2,810.0
Sevenoaks,E07000111,866.6,898.1,873.8,816.3,806.3,768.5,862.7,897.9,781.9,787.0,755.1,755.7,736.3,702.1,779.9
Shepway,E07000112,1079.9,1013.0,1041.3,916.9,1029.4,966.8,872.3,801.9,832.9,798.6,781.1,838.2,804.6,793.8,831.6
Swale,E07000113,1166.5,1138.0,1071.2,996.5,1007.1,1006.3,1033.3,1004.7,990.0,922.4,878.4,847.1,854.3,850.0,886.9
Thanet,E07000114,1029.3,1042.5,1097.4,1041.9,1068.0,1000.5,956.5,946.2,969.0,897.3,879.3,897.2,878.3,884.4,910.9
Tonbridge and Malling,E07000115,949.4,912.3,911.1,861.0,954.9,806.1,790.5,864.0,774.2,835.2,770.5,692.8,728.0,669.1,737.8
Tunbridge Wells,E07000116,953.8,1048.8,976.7,939.0,879.0,858.5,878.8,814.5,836.4,790.1,670.8,698.6,731.4,730.9,785.7
Burnley,E07000117,1249.9,1235.7,1209.2,1225.8,1121.9,1250.8,1182.2,1182.1,1107.9,905.8,1062.2,1134.4,1022.5,1073.0,998.5
Chorley,E07000118,1178.3,1155.5,1137.4,1145.7,1081.6,922.4,993.8,1117.8,962.7,885.5,951.6,956.9,895.6,891.6,941.4
Fylde,E07000119,1016.0,1073.2,1061.5,967.6,1015.1,932.6,940.9,929.8,922.2,848.8,808.3,902.9,925.3,816.9,876.3
Hyndburn,E07000120,1235.4,1204.8,1257.0,1086.0,1090.9,1195.3,1072.6,1199.2,1066.6,1115.3,1022.6,997.0,1049.1,993.3,967.8
Lancaster,E07000121,999.2,1089.8,1038.3,1001.0,979.5,975.9,1039.7,1062.9,922.8,906.9,898.9,888.6,978.1,938.7,947.9
Pendle,E07000122,1102.6,1064.6,1130.5,994.9,1042.2,993.5,972.5,897.6,1021.0,952.8,903.4,902.9,956.4,917.7,968.1
Preston,E07000123,1240.8,1204.0,1232.0,1158.2,1188.3,1085.9,1048.2,1180.7,1063.6,1043.1,915.0,1037.4,971.7,944.2,973.7
Ribble Valley,E07000124,1043.7,1017.5,971.9,948.7,929.7,844.0,977.6,746.2,938.8,855.4,821.2,796.8,753.8,842.0,748.9
Rossendale,E07000125,1295.4,1188.4,1233.9,1143.9,1232.3,1062.4,995.7,1153.7,1085.2,970.7,1020.2,937.4,992.3,875.0,1006.3
South Ribble,E07000126,1072.3,1014.5,1096.1,937.7,900.3,1004.2,1025.8,968.9,898.3,848.0,877.1,871.8,872.6,770.8,782.0
West Lancashire,E07000127,1187.1,1235.0,1201.1,1123.6,1117.4,1051.1,1113.4,1053.3,1015.3,947.6,900.1,861.9,935.6,858.9,900.3
Wyre,E07000128,1011.1,1025.7,1005.3,1035.1,1100.9,934.2,986.7,926.0,912.0,912.9,904.1,921.6,915.3,817.4,893.1
Blaby,E07000129,858.7,893.2,951.9,830.1,908.4,828.6,845.2,834.1,719.4,789.5,761.2,732.1,763.8,705.7,746.4
Charnwood,E07000130,1087.5,957.6,1039.9,990.1,977.8,921.8,759.4,923.9,813.7,785.3,769.8,869.2,809.3,790.0,795.1
Harborough,E07000131,1025.9,1029.3,968.4,976.4,920.5,841.1,861.8,741.4,764.1,735.8,690.5,771.0,736.0,739.5,732.6
Hinckley and Bosworth,E07000132,1008.3,980.4,1006.9,959.1,1071.5,979.3,873.5,876.4,796.5,778.7,724.0,815.8,759.1,679.5,847.2
Melton,E07000133,978.5,844.6,969.1,911.0,950.2,859.4,853.5,985.0,748.6,778.1,735.5,829.0,854.9,705.6,812.1
North West Leicestershire,E07000134,1010.2,1078.5,1127.1,1000.2,1100.2,964.8,951.2,893.2,899.4,949.1,785.6,841.2,817.2,830.7,862.8
Oadby and Wigston,E07000135,929.0,1035.0,989.8,937.4,929.0,929.2,893.2,877.6,827.3,854.0,777.6,752.5,772.1,771.0,824.9
Boston,E07000136,1091.3,1086.8,988.7,986.2,998.1,969.4,1080.8,919.3,968.6,913.6,877.3,856.1,927.2,867.2,918.5
East Lindsey,E07000137,1022.2,994.3,1042.5,1043.0,964.4,1020.1,936.9,948.4,967.0,941.0,932.5,891.7,927.0,901.9,928.1
Lincoln,E07000138,984.3,1089.3,1168.9,1043.0,1030.6,1064.1,1068.2,1059.5,940.0,947.3,879.0,951.1,954.2,877.1,1000.6
North Kesteven,E07000139,1102.9,991.9,1113.3,1022.9,924.0,843.2,894.3,909.9,850.4,805.4,817.8,853.5,744.1,738.3,804.8
South Holland,E07000140,1032.2,1021.1,980.4,1026.8,872.1,868.8,978.7,953.6,852.8,853.1,775.7,854.8,845.4,828.2,927.1
South Kesteven,E07000141,948.8,967.8,934.0,880.3,915.0,981.7,931.1,934.6,829.6,789.8,801.8,794.5,794.5,750.2,829.6
West Lindsey,E07000142,1039.0,1051.3,1051.7,932.6,1067.6,939.7,934.0,930.1,865.6,813.9,877.9,861.1,867.4,724.1,869.5
Breckland,E07000143,941.5,1056.6,1000.3,937.9,903.0,948.6,905.7,868.9,870.2,853.3,849.9,822.9,870.1,820.6,918.2
Broadland,E07000144,966.9,1088.9,939.8,916.2,973.2,908.7,855.2,873.9,919.4,840.0,803.8,753.1,799.0,715.6,825.8
Great Yarmouth,E07000145,1087.5,980.0,945.4,1016.9,950.0,1024.9,937.1,1005.3,982.8,910.3,928.9,895.6,911.4,882.3,800.3
King's Lynn and West Norfolk,E07000146,951.6,959.7,1011.8,946.8,888.0,881.4,910.6,874.6,780.3,806.0,795.5,790.1,841.8,745.0,768.0
North Norfolk,E07000147,910.8,952.9,942.0,872.5,814.4,760.6,739.9,785.8,739.4,726.2,698.4,747.1,738.1,736.7,700.1
Norwich,E07000148,853.4,944.1,872.4,908.5,825.9,854.4,820.7,878.8,814.6,769.5,780.2,772.9,791.8,803.2,828.6
South Norfolk,E07000149,872.3,849.8,884.0,886.5,810.4,797.4,856.1,831.4,802.3,829.5,723.3,717.2,726.7,724.8,757.9
Corby,E07000150,1159.4,1243.6,1148.3,1096.6,1161.0,1175.9,963.3,1119.9,1008.0,1199.0,1080.7,997.5,1059.0,941.0,1069.0
Daventry,E07000151,994.9,967.4,960.6,978.9,896.3,1009.5,952.4,912.1,844.5,819.6,797.6,929.8,912.2,824.2,861.3
East Northamptonshire,E07000152,1010.2,1083.5,983.0,1046.4,1092.4,976.9,979.0,1026.3,942.3,910.0,821.1,818.0,758.8,824.4,830.2
Kettering,E07000153,931.4,1040.4,1110.4,1016.2,1041.1,937.5,945.3,944.3,896.6,906.9,830.9,849.0,863.1,790.8,905.5
Northampton,E07000154,1028.5,1071.8,1040.4,1032.8,997.8,966.8,998.0,925.6,932.4,913.1,948.2,968.5,893.7,864.6,897.8
South Northamptonshire,E07000155,917.8,960.7,1013.5,875.3,863.7,955.9,758.2,852.2,802.7,753.8,766.3,753.1,723.3,708.3,734.1
