AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15
Cheshire East,E06000049,1502.7,1433.1,1431.8,1352.9,1283.8,1280.0,1243.9,1209.2,1166.6,1132.6,1030.2,1090.9,1090.0,1023.2,1039.8
Cheshire West and Chester,E06000050,1476.2,1445.8,1409.7,1423.8,1339.1,1287.5,1254.3,1288.3,1167.4,1159.5,1142.6,1191.2,1165.7,1089.5,1102.9
Shropshire,E06000051,1442.3,1490.8,1428.9,1338.2,1293.4,1220.7,1173.6,1195.3,1195.8,1199.4,1039.3,1120.8,1144.7,1014.1,1095.9
Cornwall,E06000052,1385.8,1353.8,1366.8,1287.3,1292.6,1209.6,1288.0,1214.1,1227.4,1115.9,1132.8,1121.9,1127.5,1096.4,1130.8
Isles of Scilly,E06000053,1385.8,1353.8,1366.8,1287.3,1292.6,1209.6,1288.0,1214.1,1227.4,1115.9,1132.8,1121.9,1127.5,1096.4,1130.8
Wiltshire,E06000054,1373.6,1353.2,1324.4,1257.0,1228.0,1189.6,1203.2,1197.6,1121.9,1095.1,1056.3,1040.3,1038.9,998.1,1069.4
Bedford,E06000055,1410.3,1455.9,1389.8,1361.0,1286.9,1285.6,1214.9,1206.4,1225.4,1205.3,1093.8,1129.9,1088.2,1019.9,1110.6
Central Bedfordshire,E06000056,1469.7,1414.0,1443.7,1349.9,1428.0,1216.2,1205.5,1295.0,1204.7,1098.3,1056.4,1093.4,978.5,940.9,976.7
Northumberland,E06000057,1596.2,1564.4,1559.4,1505.2,1349.1,1269.3,1344.5,1272.3,1148.2,1226.1,1167.2,1173.1,1151.1,1153.3,1136.4
Aylesbury Vale,E07000004,1343.7,1430.8,1314.0,1293.9,1393.3,1242.0,1110.3,1134.3,1151.6,1153.3,1157.6,1088.2,1056.5,1080.5,1111.7
Chiltern,E07000005,1404.9,1490.9,1174.2,1073.9,1172.8,1218.0,963.0,988.0,1058.4,933.0,872.2,947.1,933.9,885.1,929.4
South Bucks,E07000006,1384.5,1340.5,1248.4,1280.7,1153.2,1124.2,939.5,1015.8,1086.6,1043.0,1043.5,1092.7,1013.4,1032.8,987.2
Wycombe,E07000007,1378.9,1255.9,1324.7,1187.3,1272.1,1061.8,1038.4,1071.9,1061.2,1056.4,961.5,952.8,923.4,946.2,920.8
Cambridge,E07000008,1402.0,1400.6,1359.8,1334.5,1257.6,1319.4,1253.7,1284.3,1121.5,1111.2,1000.0,1163.6,1122.8,1052.1,1152.8
East Cambridgeshire,E07000009,1442.0,1305.0,1372.6,1326.3,1195.5,1147.3,1144.4,1136.9,1026.0,1030.3,1091.9,863.4,979.0,964.8,954.1
Fenland,E07000010,1675.7,1476.0,1641.3,1304.4,1438.6,1369.8,1357.0,1345.3,1347.4,1211.3,1167.2,1147.1,1152.3,1120.9,1228.7
Huntingdonshire,E07000011,1414.7,1366.8,1375.2,1228.6,1102.5,1256.4,1254.8,1120.6,1083.1,1078.4,1020.6,994.8,1021.3,970.7,1055.8
South Cambridgeshire,E07000012,1160.0,1317.2,1165.8,1211.4,1207.7,1107.4,907.5,1001.4,1004.0,979.6,865.3,872.5,954.6,952.8,929.5
Allerdale,E07000026,1594.4,1612.5,1464.6,1399.1,1502.8,1456.2,1353.4,1299.7,1267.9,1322.9,1255.7,1229.7,1139.1,1196.9,1142.3
Barrow-in-Furness,E07000027,1822.1,1792.3,1537.0,1725.5,1513.2,1478.0,1581.2,1381.2,1205.0,1278.7,1308.6,1206.9,1384.7,1309.7,1294.1
Carlisle,E07000028,1631.1,1501.0,1559.7,1550.5,1516.7,1374.5,1356.9,1379.2,1374.8,1212.0,1117.9,1212.2,1113.5,1171.7,1147.5
Copeland,E07000029,1511.7,1634.1,1543.1,1641.2,1635.4,1357.6,1481.8,1312.7,1240.3,1345.1,1264.9,1302.5,1391.3,1207.1,1279.8
Eden,E07000030,1286.8,1375.2,1266.3,1383.9,1326.6,1225.5,1205.4,1273.6,1093.6,1171.9,1081.7,1022.5,1061.2,924.2,1055.2
South Lakeland,E07000031,1327.4,1435.3,1255.3,1290.9,1208.6,1165.2,1128.1,1136.1,1135.3,1119.9,1038.0,987.0,1094.0,1024.4,988.6
Amber Valley,E07000032,1528.6,1543.7,1582.4,1399.9,1344.0,1329.9,1254.7,1298.3,1227.5,1180.0,1238.9,1151.1,1208.2,1124.4,1229.2
Bolsover,E07000033,1579.4,1788.5,1795.8,1569.1,1562.6,1517.6,1622.3,1524.5,1369.2,1279.0,1379.4,1373.5,1383.7,1508.4,1526.4
Chesterfield,E07000034,1645.1,1724.9,1817.6,1388.1,1505.3,1549.9,1426.2,1431.7,1414.7,1377.9,1271.4,1273.5,1276.0,1222.1,1359.5
Derbyshire Dales,E07000035,1476.3,1364.2,1421.2,1358.3,1140.3,1276.6,1214.8,1105.8,1074.8,1087.8,1085.9,1016.1,1091.9,1069.0,1072.8
Erewash,E07000036,1613.5,1611.7,1446.0,1415.8,1443.7,1355.7,1258.5,1359.6,1079.8,1226.6,1076.9,1171.1,1185.5,1131.9,1135.9
High Peak,E07000037,1432.1,1414.7,1308.9,1241.1,1390.8,1245.6,1243.3,1278.0,1247.9,1054.9,1160.2,1151.2,1185.7,1123.6,1105.7
North East Derbyshire,E07000038,1615.9,1562.9,1421.6,1472.2,1329.7,1311.1,1402.8,1303.0,1133.7,1102.6,1176.7,1075.8,1060.9,1082.6,1144.0
South Derbyshire,E07000039,1603.9,1551.7,1442.9,1523.8,1434.9,1253.8,1336.5,1333.6,1138.6,1139.4,1239.8,1207.0,1158.3,1235.0,1317.2
East Devon,E07000040,1375.1,1315.5,1134.0,1171.0,1222.5,1228.0,1075.5,1025.2,1105.6,993.5,920.3,1069.8,981.9,919.4,1004.3
Exeter,E07000041,1474.3,1415.7,1505.5,1489.6,1434.9,1335.5,1316.7,1258.7,1200.8,1119.5,1075.4,1174.6,1224.7,1198.9,1260.4
Mid Devon,E07000042,1334.4,1256.6,1216.9,1303.1,1287.7,985.1,1111.4,1102.5,1036.1,1094.7,1154.1,966.2,902.8,939.1,1113.7
North Devon,E07000043,1469.2,1371.1,1504.0,1358.9,1211.3,1306.7,1204.9,1241.4,1229.9,1150.1,1090.5,1110.7,1084.0,1112.1,1184.9
South Hams,E07000044,1148.2,1351.5,1222.8,1080.2,1217.0,1135.2,1109.3,1148.1,1053.1,1029.2,950.1,1037.8,1009.1,911.1,1029.5
Teignbridge,E07000045,1332.4,1320.9,1245.6,1209.4,1234.6,1123.9,1149.8,1108.8,1085.3,1128.1,1056.1,1200.1,1089.5,1042.7,1092.3
Torridge,E07000046,1436.3,1593.6,1403.9,1323.1,1221.6,1172.5,1326.8,1239.4,1051.2,1206.7,1150.9,1090.8,1053.8,1302.8,1137.5
West Devon,E07000047,1486.9,1322.1,1318.8,1204.5,1178.2,1179.6,1311.6,1285.8,1115.0,983.1,1091.4,1194.2,1034.7,1055.5,1031.5
Christchurch,E07000048,1273.7,1276.3,1284.3,1097.5,1086.0,1095.3,1040.5,1104.3,942.7,967.1,963.6,834.1,919.9,981.5,1034.8
East Dorset,E07000049,1140.7,1077.9,1111.2,1004.9,1079.4,1016.2,1002.8,999.0,920.1,912.9,869.9,904.5,912.9,825.9,891.3
North Dorset,E07000050,1215.3,1231.9,1081.5,1123.9,1210.1,1065.3,1047.6,1027.6,920.7,1014.8,983.5,1006.3,994.6,995.1,996.1
Purbeck,E07000051,1160.0,1196.7,1109.3,1180.3,1100.3,1062.0,1244.6,964.7,1020.6,1070.0,986.1,898.0,1001.1,932.4,991.6
West Dorset,E07000052,1315.6,1289.6,1281.8,1171.0,1176.8,1056.2,1142.8,1138.3,1168.4,1053.7,1012.5,1051.7,1000.0,912.2,997.1
Weymouth and Portland,E07000053,1464.9,1514.6,1432.1,1166.5,1259.0,1219.9,1151.1,1336.5,1102.7,1222.0,1074.2,1160.3,1210.2,1199.9,1122.1
Eastbourne,E07000061,1519.9,1436.3,1303.8,1335.0,1264.5,1193.7,1189.4,1157.1,1133.6,1338.2,1034.4,1108.8,1102.3,1028.8,1028.0
Hastings,E07000062,1642.3,1659.6,1618.0,1524.5,1397.9,1611.7,1445.8,1373.5,1470.5,1259.3,1343.5,1247.4,1325.6,1198.8,1374.6
Lewes,E07000063,1257.9,1216.3,1239.0,1127.0,1139.7,1089.4,1004.5,1036.9,1029.4,983.7,1042.1,985.7,1083.6,934.7,979.2
Rother,E07000064,1305.3,1451.1,1322.8,1342.3,1207.5,1198.7,1118.3,1162.0,1112.4,1126.6,1012.5,1093.8,1089.5,1055.2,1095.2
Wealden,E07000065,1247.4,1211.1,1208.2,1234.8,1123.3,1131.3,1020.4,1079.3,1045.6,1063.7,1041.8,990.3,989.5,947.9,1003.6
Basildon,E07000066,1490.8,1509.4,1422.1,1460.0,1401.4,1373.4,1254.5,1244.4,1154.2,1230.3,1077.9,1101.2,1198.2,1134.8,1127.5
Braintree,E07000067,1453.7,1482.8,1582.6,1306.0,1276.8,1334.9,1168.9,1219.5,1122.1,1293.3,1081.8,1214.6,1074.8,1100.7,1175.5
Brentwood,E07000068,1279.9,1215.3,1149.6,1279.2,1075.3,1166.6,1116.6,1198.3,982.1,1000.1,924.1,1045.6,922.2,1099.8,1085.5
Castle Point,E07000069,1316.9,1530.4,1438.4,1259.6,1173.9,1243.4,1177.0,1192.5,1144.5,1117.8,1184.3,1076.9,1171.0,1122.8,1232.9
Chelmsford,E07000070,1403.4,1282.5,1354.3,1218.2,1172.4,1101.5,1140.8,1097.5,1008.5,1045.6,1052.6,1077.5,960.2,977.0,1003.6
Colchester,E07000071,1479.4,1442.9,1406.6,1353.2,1365.2,1341.2,1248.7,1173.4,1108.4,1146.4,1094.9,1163.0,1122.7,1093.1,1120.8
Epping Forest,E07000072,1363.5,1411.8,1254.7,1366.9,1340.6,1367.5,1208.2,1243.8,1160.7,1090.9,1050.6,1092.0,955.4,1180.8,1090.5
Harlow,E07000073,1333.8,1516.1,1422.8,1331.0,1340.1,1240.1,1233.7,1240.9,1305.5,1203.0,1202.4,1291.4,1222.9,1191.9,1121.3
Maldon,E07000074,1367.9,1315.4,1317.5,1413.9,1292.3,1253.7,1247.4,1303.6,1179.3,1037.0,1020.7,1113.9,1013.3,1049.3,1227.6
Rochford,E07000075,1387.3,1308.6,1299.2,1214.8,1261.5,1198.7,1100.7,1273.0,1061.1,1130.5,1012.9,978.3,1067.1,938.6,1060.9
Tendring,E07000076,1423.0,1439.0,1395.7,1349.5,1397.7,1320.8,1248.8,1232.4,1218.8,1295.4,1292.9,1193.3,1208.4,1098.1,1235.5
Uttlesford,E07000077,1399.8,1268.5,1185.3,1154.0,1156.5,1320.2,1153.0,1299.2,1079.0,906.5,1071.6,888.4,878.8,989.3,971.1
Cheltenham,E07000078,1452.0,1265.1,1366.0,1280.3,1155.8,1279.2,1216.5,1114.0,1076.7,1053.0,1064.6,1069.4,1047.5,1063.1,1062.2
Cotswold,E07000079,1362.8,1278.5,1235.2,1328.6,1135.5,1018.7,1124.4,1173.0,1081.1,982.4,969.3,1046.7,991.9,998.8,978.7
Forest of Dean,E07000080,1539.6,1571.6,1545.0,1418.2,1224.1,1315.3,1259.5,1273.9,1206.6,1049.5,1109.2,1197.0,1209.6,1103.1,1034.5
Gloucester,E07000081,1482.5,1424.8,1457.7,1552.4,1352.8,1232.6,1304.4,1315.1,1299.3,1258.8,1333.9,1237.3,1185.9,1115.0,1286.2
Stroud,E07000082,1329.3,1399.3,1388.6,1273.9,1336.4,1296.1,1310.7,1177.4,1200.4,1067.2,1032.4,1160.1,1262.2,1125.0,1172.2
Tewkesbury,E07000083,1283.2,1269.1,1318.3,1272.0,1189.5,1191.7,1144.6,1118.8,1166.7,1123.5,1102.3,1080.6,1122.4,1052.6,1051.0
Basingstoke and Deane,E07000084,1365.9,1562.7,1459.5,1418.0,1206.4,1168.3,1242.4,1089.3,1061.8,1156.2,1009.7,960.4,1013.1,1063.4,1125.5
East Hampshire,E07000085,1314.8,1387.9,1385.8,1185.1,1183.9,1235.9,1137.6,1209.2,1080.6,1065.0,1011.2,1065.9,996.2,971.9,930.9
Eastleigh,E07000086,1362.4,1492.8,1394.5,1335.2,1243.3,1185.1,1258.7,1297.6,1001.5,986.5,981.2,1031.6,1006.5,957.9,922.3
Fareham,E07000087,1307.6,1264.2,1214.3,1140.6,1180.9,1106.6,978.3,1030.0,1101.0,1061.9,1030.5,1034.5,1154.9,1000.3,950.9
Gosport,E07000088,1610.7,1466.0,1595.0,1355.4,1469.8,1389.5,1311.9,1130.2,1143.1,1275.6,1198.9,1181.7,1333.9,1147.9,1153.6
Hart,E07000089,1253.3,1187.0,1129.0,1109.4,1167.2,934.8,1067.6,995.0,1033.6,927.2,848.4,913.5,928.3,993.0,830.8
Havant,E07000090,1372.7,1335.9,1400.4,1278.1,1225.2,1152.5,1150.9,1165.1,1124.7,1132.6,1098.7,1101.4,1169.4,962.7,1077.5
New Forest,E07000091,1128.2,1219.6,1191.6,1158.5,1149.6,1066.4,1059.4,1111.6,984.4,981.8,926.6,951.7,946.7,897.6,970.0
Rushmoor,E07000092,1476.1,1680.0,1244.3,1244.4,1304.8,1225.2,1164.0,1320.5,1270.8,1212.2,1180.3,1174.4,1303.7,1149.7,1111.8
Test Valley,E07000093,1494.7,1355.0,1342.2,1262.3,1306.2,1140.2,1348.8,1112.4,1147.4,1060.5,1088.7,1011.7,1011.6,936.6,1051.8
Winchester,E07000094,1245.5,1135.9,1298.8,1132.1,1114.2,1071.3,1171.9,1081.8,935.8,1032.6,966.6,917.2,943.0,996.5,977.3
Broxbourne,E07000095,1536.8,1380.2,1446.3,1318.8,1121.3,1166.5,1174.9,1115.2,1068.7,1002.8,1085.7,1085.6,1062.6,965.0,987.6
Dacorum,E07000096,1451.7,1342.8,1261.5,1284.0,1227.3,1216.5,1191.1,1086.1,1056.2,1140.8,1090.5,1097.6,1083.1,938.8,992.8
Hertsmere,E07000098,1254.8,1420.7,1362.2,1444.2,1283.1,1228.8,1149.7,1291.7,1250.2,1053.3,1009.7,1011.7,1064.2,1094.9,1056.4
North Hertfordshire,E07000099,1587.6,1471.8,1438.8,1272.4,1409.4,1331.5,1207.3,1312.8,1086.3,1263.9,1122.9,1147.9,1095.6,1090.6,1044.7
Three Rivers,E07000102,1331.9,1467.7,1247.2,1282.3,1175.9,1125.3,1083.2,1129.7,1110.8,1133.2,1085.7,1158.0,1021.7,1012.6,1028.0
Watford,E07000103,1552.8,1518.5,1635.9,1500.5,1293.3,1386.2,1484.7,1365.6,1198.5,1255.1,1181.3,1254.6,1314.0,1190.0,1230.9
Ashford,E07000105,1396.4,1217.1,1226.5,1198.5,1151.9,1047.8,1128.0,1001.3,1073.1,1054.1,1014.3,983.2,1125.1,1037.6,1106.4
Canterbury,E07000106,1379.1,1446.1,1408.1,1452.1,1339.2,1218.6,1231.0,1250.0,1232.4,1148.9,1133.6,1046.4,995.4,1112.8,1071.7
Dartford,E07000107,1577.1,1446.1,1601.1,1600.7,1567.2,1288.2,1204.0,1195.3,1208.1,1257.0,1200.6,1328.5,1212.7,1125.7,1351.9
Dover,E07000108,1465.2,1500.4,1494.4,1363.4,1370.7,1308.2,1326.9,1213.0,1294.5,1073.1,1186.5,1117.1,1113.6,1148.3,1219.0
Gravesham,E07000109,1398.6,1453.7,1531.8,1347.2,1396.0,1205.4,1313.5,1328.7,1231.5,1184.3,1131.6,1057.8,1155.8,1150.8,1053.6
Maidstone,E07000110,1461.1,1375.9,1464.4,1357.6,1343.3,1245.0,1263.0,1144.6,1233.2,1250.8,1124.6,1104.5,1177.9,1082.1,1079.3
Sevenoaks,E07000111,1250.6,1127.7,1272.7,1184.1,1082.8,1116.2,1070.2,1035.3,1054.3,968.2,1003.5,986.0,1062.4,970.9,993.6
Shepway,E07000112,1514.8,1451.7,1558.0,1358.5,1347.9,1245.4,1212.7,1258.7,1158.7,1142.6,1156.7,1074.6,1062.4,1138.7,1226.8
Swale,E07000113,1406.4,1523.1,1547.2,1514.1,1296.9,1526.4,1393.1,1368.9,1381.5,1255.2,1192.1,1115.3,1307.6,1225.9,1248.5
Thanet,E07000114,1563.9,1606.8,1624.8,1454.9,1610.7,1444.3,1314.4,1403.7,1503.5,1303.5,1377.0,1226.4,1240.7,1239.6,1254.0
Tonbridge and Malling,E07000115,1406.0,1380.5,1400.1,1227.7,1206.0,1191.7,1146.9,1096.8,1142.0,1132.7,1048.6,1054.3,1069.7,911.6,1055.5
Tunbridge Wells,E07000116,1261.2,1321.5,1277.2,1290.2,1198.4,1158.3,1150.7,1094.0,984.2,956.3,1034.7,978.1,989.1,894.6,969.4
Burnley,E07000117,1528.6,1764.3,1696.4,1694.3,1410.2,1487.1,1470.6,1424.2,1472.9,1333.1,1433.5,1491.1,1424.9,1292.8,1464.6
Chorley,E07000118,1579.2,1653.2,1710.1,1589.3,1554.7,1418.5,1248.9,1421.1,1397.5,1247.0,1194.2,1174.1,1174.4,1269.3,1069.0
Fylde,E07000119,1505.7,1452.1,1419.7,1398.6,1303.1,1354.7,1288.0,1256.7,1244.8,1089.6,1218.7,1130.2,1161.1,1166.3,1185.9
Hyndburn,E07000120,1704.2,1747.3,1617.0,1473.7,1544.0,1531.0,1521.7,1646.8,1540.1,1374.0,1385.9,1336.4,1484.9,1374.9,1326.9
Lancaster,E07000121,1659.0,1574.7,1552.2,1452.5,1386.1,1437.2,1414.5,1394.0,1291.2,1380.0,1294.2,1310.4,1235.9,1205.5,1244.0
Pendle,E07000122,1483.8,1570.5,1576.5,1525.4,1526.6,1419.7,1361.0,1336.4,1285.9,1213.4,1222.6,1229.1,1198.5,1277.5,1188.3
Preston,E07000123,1667.9,1685.6,1671.1,1501.5,1602.7,1530.9,1587.5,1598.4,1331.5,1343.3,1252.9,1273.5,1353.5,1352.1,1352.5
Ribble Valley,E07000124,1480.6,1631.1,1361.9,1474.9,1313.0,1397.2,1261.8,1069.7,1371.5,1209.4,1020.4,1055.4,1087.2,1088.9,947.8
Rossendale,E07000125,1669.8,1637.8,1791.4,1674.7,1603.6,1481.7,1726.3,1544.4,1588.0,1413.8,1433.5,1240.6,1215.5,1342.9,1236.4
South Ribble,E07000126,1528.1,1502.3,1464.2,1364.5,1308.7,1293.9,1359.2,1220.1,1198.9,1132.1,1149.5,1081.6,1045.9,1039.5,1101.7
West Lancashire,E07000127,1734.0,1669.8,1647.6,1594.5,1545.9,1372.8,1292.4,1394.7,1274.8,1376.1,1231.6,1133.2,1285.8,1110.8,1168.5
Wyre,E07000128,1407.3,1522.9,1506.2,1470.1,1499.8,1319.5,1356.3,1358.0,1276.3,1173.8,1263.6,1259.6,1147.6,1200.0,1118.1
Blaby,E07000129,1200.0,1345.3,1276.5,1271.0,1099.0,1135.7,1075.4,1195.7,1121.0,1143.8,958.3,988.5,1132.3,990.1,1028.8
Charnwood,E07000130,1415.1,1405.8,1420.4,1324.3,1380.8,1337.3,1194.1,1143.6,1104.8,1226.5,1132.4,1068.2,1062.3,1030.2,961.1
Harborough,E07000131,1382.1,1265.2,1291.9,1188.1,1334.4,1088.9,1193.0,1148.8,1087.9,1073.6,1066.7,1097.3,1058.3,1071.0,1023.4
Hinckley and Bosworth,E07000132,1332.4,1363.4,1405.3,1410.0,1208.2,1238.7,1186.3,1222.2,1180.7,1200.1,1117.1,1128.9,1085.1,1069.3,1124.3
Melton,E07000133,1501.4,1353.2,1408.1,1475.4,1270.9,1458.4,1182.1,1224.4,1037.3,978.8,1268.6,1022.9,1006.8,1042.8,947.6
