date,British
01/11/2005,1486136
01/12/2005,1470289
01/01/2006,1471759
01/02/2006,1474447
01/03/2006,1503126
01/04/2006,1490290
01/05/2006,1488330
01/06/2006,1481238
01/07/2006,1480706
01/08/2006,1501752
01/09/2006,1505420
01/10/2006,1503097
01/11/2006,1476865
01/12/2006,1475000
01/01/2007,1490008
01/02/2007,1484403
01/03/2007,1508691
01/04/2007,1524185
01/05/2007,1556703
01/06/2007,1574725
01/07/2007,1568725
01/08/2007,1555028
01/09/2007,1547249
01/10/2007,1572121
01/11/2007,1579862
01/12/2007,1593312
01/01/2008,1595242
01/02/2008,1615745
01/03/2008,1588979
01/04/2008,1608363
01/05/2008,1604572
01/06/2008,1613542
01/07/2008,1593139
01/08/2008,1615786
01/09/2008,1641526
01/10/2008,1660445
01/11/2008,1645704
01/12/2008,1659857
01/01/2009,1644718
01/02/2009,1651315
01/03/2009,1655573
01/04/2009,1656375
01/05/2009,1672394
01/06/2009,1687613
01/07/2009,1745606
01/08/2009,1801307
01/09/2009,1816874
01/10/2009,1845355
01/11/2009,1870479
01/12/2009,1836811
01/01/2010,1825654
01/02/2010,1818949
01/03/2010,1846583
01/04/2010,1872548
01/05/2010,1846721
01/06/2010,1824172
01/07/2010,1786193
01/08/2010,1781411
01/09/2010,1795806
01/10/2010,1800159
01/11/2010,1806154
01/12/2010,1821703
01/01/2011,1840841
01/02/2011,1867332
01/03/2011,1852658
01/04/2011,1838876
01/05/2011,1814416
01/06/2011,1818600
01/07/2011,1858798
01/08/2011,1881995
01/09/2011,1892659
01/10/2011,1899558
01/11/2011,1916199
01/12/2011,1914294
01/01/2012,1919951
01/02/2012,1895692
01/03/2012,1851963
01/04/2012,1867607
01/05/2012,1851330
01/06/2012,1897004
01/07/2012,1900486
01/08/2012,1877348
01/09/2012,1840830
01/10/2012,1836149
01/11/2012,1850303
01/12/2012,1869457
01/01/2013,1872093
01/02/2013,1886088
01/03/2013,1919840
01/04/2013,1931432
01/05/2013,1903733
01/06/2013,1867765
01/07/2013,1838847
01/08/2013,1862546
01/09/2013,1863686
01/10/2013,1858752
01/11/2013,1865717
01/12/2013,1860657
01/01/2014,1892864
01/02/2014,1875526
01/03/2014,1867165
01/04/2014,1860566
01/05/2014,1874408
01/06/2014,1876809
01/07/2014,1881807
01/08/2014,1862615
01/09/2014,1877605
01/10/2014,1876047
01/11/2014,1855853
01/12/2014,1862394
01/01/2015,1867490
01/02/2015,1879077
01/03/2015,1876382
01/04/2015,1891380
01/05/2015,1892114
01/06/2015,1903784
01/07/2015,1901794
01/08/2015,1909438
01/09/2015,1902489
01/10/2015,1910836
01/11/2015,1908184
01/12/2015,1894428
01/01/2016,1879875
01/02/2016,1925128
01/03/2016,1899239
01/04/2016,1897328
01/05/2016,1872589
